AT90,DTCO,RHOZ,RO,LATITUD,TOC_COE,COE_IC_INF,COE_IC_SUP,TOC_CUERVO,CUERVO_IC_SUP,CUERVO_IC_INF,DEPTH
14.86449,73.0797,2.705,2.19,-38.0233,0.0,0.0,0.0,0.0,0.88286,0.0,2360.2188
16.19273,67.4293,2.6336,1.27,-38.2673,0.0,0.0,0.88754,0.0,1.75897,0.0,2371.4964
26.4393,66.7543,2.607,1.55,-38.2219,0.83146,0.0,1.99329,0.0,2.31274,0.0,2374.5444
24.89717,66.9488,2.6408,1.27,-38.2673,0.0,0.0,0.93464,0.0,1.75449,0.0,2381.5548
14.50341,72.5142,2.6118,1.55,-38.2219,0.7194,0.0,1.86642,0.0,2.32248,0.0,2382.3168
89.76768,94.4233,2.3659,1.15,-38.2228,4.45306,2.86054,6.2255,6.07784,8.39817,3.75752,2390.04
79.45295,91.5344,2.3572,1.15,-38.2228,4.23527,2.66623,5.98157,6.07573,8.39605,3.75541,2391.32
71.83565,92.0788,2.393,1.15,-38.2228,3.63913,2.16306,5.28194,5.35952,7.67935,3.03969,2393.38
28.55749,94.451,2.3803,1.15,-38.2228,3.87808,2.37242,5.55383,5.43466,7.75453,3.11479,2396.72
103.01252,95.7579,2.4027,1.15,-38.2228,3.65905,2.18093,5.30415,5.45989,7.77977,3.14,2397.95
45.70461,88.9989,2.4349,1.15,-38.2228,2.90862,1.49996,4.47642,4.2649,6.58441,1.94539,2398.46
19.0871,92.4347,2.4549,1.15,-38.2228,2.38261,1.01065,3.90957,3.78204,6.10157,1.46251,2400.14
43.89954,103.9321,2.3179,1.15,-38.2228,5.17388,3.54865,6.98273,7.29091,9.61258,4.96924,2401.11
143.85336,104.0219,2.3195,1.15,-38.2228,4.73746,3.13079,6.52564,7.63302,9.95519,5.31086,2403.33
121.72506,96.5306,2.3924,1.15,-38.2228,3.85936,2.35634,5.53217,5.74986,8.06993,3.42979,2403.73
220.88692,101.7184,2.3132,1.15,-38.2228,4.83614,3.22748,6.62653,7.78806,10.11047,5.46566,2404.39
15.11576,73.8019,2.6018,1.42,-38.6713,0.55695,0.0,1.68304,0.2388,2.56162,0.0,2404.5672
149.07678,101.5218,2.332,1.15,-38.2228,5.15475,3.53092,6.96204,7.26535,9.58698,4.94371,2405.66
24.93676,65.3891,2.589,1.83,-37.657,0.62584,0.0,1.76088,0.20435,2.52722,0.0,2409.2916
37.19033,58.8345,2.6572,1.27,-38.2673,0.0,0.0,0.59775,0.0,1.22986,0.0,2424.684
37.30697,75.5095,2.6218,2.19,-38.0233,0.46373,0.0,1.57734,0.27489,2.59764,0.0,2430.9324
19.32369,66.6314,2.6202,1.83,-37.657,0.12891,0.0,1.19385,0.0,1.99297,0.0,2449.5252
5.03593,91.8155,3.0,1.55,-38.2219,0.0,0.0,0.0,0.0,0.0,0.0,2475.738
17.39202,88.3049,2.4442,1.03,-37.4194,2.7253,1.32564,4.2831,3.75445,6.07399,1.43492,2478.485
19.03444,89.6089,2.4018,1.03,-37.4194,2.89169,1.484,4.45842,4.65419,6.97375,2.33463,2479.145
22.63602,87.6886,2.4221,1.03,-37.4194,2.74538,1.34427,4.30478,4.22537,6.54488,1.90587,2479.425
18.92736,86.4295,2.4539,1.03,-37.4194,1.96463,0.66692,3.40895,3.50975,5.82934,1.19016,2480.185
20.37558,86.3355,2.4582,1.03,-37.4194,2.38016,1.0086,3.90666,3.44846,5.76806,1.12885,2480.375
15.13596,90.0956,2.4009,1.03,-37.4194,3.08416,1.66066,4.66847,4.62337,6.94292,2.30381,2481.285
15.56575,89.222,2.4073,1.03,-37.4194,2.96059,1.54901,4.53165,4.46617,6.7857,2.14664,2481.415
8.30979,77.3668,2.5924,1.48,-38.1029,0.60809,0.0,1.74084,0.37892,2.7015,0.0,2481.6816
18.72966,93.6815,2.3905,1.03,-37.4194,3.287,1.84292,4.89424,5.06506,7.38475,2.74537,2482.485
27.25398,88.7724,2.4275,1.03,-37.4194,2.92787,1.51837,4.49662,4.23259,6.55209,1.91308,2483.325
64.05013,83.8201,2.4258,1.03,-37.4194,4.11452,2.56547,5.83857,4.29439,6.6139,1.97489,2484.405
54.3776,80.7827,2.4678,1.03,-37.4194,3.66353,2.18493,5.30917,3.31163,5.63128,0.99197,2484.995
33.50271,86.6659,2.4507,1.03,-37.4194,2.5367,1.15103,4.07891,3.75925,6.07878,1.43971,2486.105
35.81954,88.0208,2.3938,1.03,-37.4194,3.65947,2.18131,5.30462,4.9315,7.25114,2.61186,2486.565
98.76885,77.2955,2.5053,1.03,-37.4194,2.19262,0.85025,3.68665,2.65154,4.97152,0.33155,2488.045
64.66064,84.6769,2.4255,1.03,-37.4194,3.97959,2.45612,5.67517,4.3442,6.66371,2.02469,2489.205
97.41818,79.986,2.5005,1.03,-37.4194,2.90124,1.49309,4.46846,2.86219,5.18205,0.54233,2490.415
71.30829,83.7565,2.4383,1.03,-37.4194,4.27598,2.7011,6.02879,4.08822,6.40772,1.76871,2491.245
70.00193,82.9888,2.4802,1.03,-37.4194,3.16882,1.73707,4.76233,3.26959,5.58926,0.94992,2491.555
53.40599,86.5533,2.4081,1.03,-37.4194,4.16964,2.61092,5.90446,4.70812,7.02769,2.38855,2492.045
68.62147,84.8147,2.4088,1.03,-37.4194,4.00853,2.47895,5.7109,4.68954,7.00911,2.36997,2492.495
72.82827,84.2282,2.4507,1.03,-37.4194,3.53594,2.06958,5.16795,3.88504,6.20455,1.56552,2492.965
48.39494,87.6094,2.4444,1.03,-37.4194,3.7009,2.21829,5.351,4.03732,6.35683,1.71782,2493.555
18.91821,71.4596,2.6186,2.19,-38.0233,0.1829,0.0,1.25604,0.0,2.24374,0.0,2493.8736
44.19672,87.1426,2.4131,1.03,-37.4194,4.02977,2.49613,5.73668,4.58085,6.9004,2.26131,2494.215
41.34376,84.8277,2.4501,1.03,-37.4194,2.84111,1.43568,4.40531,3.74796,6.0675,1.42843,2494.485
83.45647,89.1001,2.4349,1.03,-37.4194,3.5684,2.0991,5.2037,4.45804,6.77756,2.13851,2495.525
46.16364,95.6976,2.3612,1.03,-37.4194,5.85212,4.17263,7.72134,6.02529,8.34557,3.70501,2495.995
46.16364,95.6976,2.3612,1.03,-37.4194,5.85212,4.17263,7.72134,6.02529,8.34557,3.70501,2496.075
21.51642,95.5338,2.3705,1.03,-37.4194,4.11855,2.56873,5.84346,5.59263,7.9126,3.27267,2496.415
13.08941,76.565,2.6172,1.83,-37.657,0.6089,0.0,1.74176,0.07313,2.39623,0.0,2497.3788
3.89386,77.9004,2.6275,1.83,-37.657,0.0,0.0,0.88957,0.0,1.91437,0.0,2499.8172
21.9008,60.7737,2.6603,1.27,-38.2673,0.0,0.0,0.50847,0.0,1.10853,0.0,2503.0176
34.06513,68.9613,2.632,2.19,-38.0233,0.05299,0.0,1.10623,0.0,2.09026,0.0,2508.3516
66.1485,75.4017,2.6398,2.19,-38.0233,0.38412,0.0,1.48669,0.15751,2.48047,0.0,2526.4872
30.32704,75.9574,2.6286,2.19,-38.0233,0.59712,0.0,1.72845,0.12111,2.44412,0.0,2529.3828
13.51326,79.1459,2.6187,1.83,-37.657,0.20391,0.0,1.28022,0.18246,2.50537,0.0,2547.0612
20.95849,79.444,2.647,1.48,-38.1029,0.0,0.0,1.01531,0.0,2.2002,0.0,2547.366
22.34498,69.9613,2.6348,2.19,-38.0233,0.0,0.0,0.85982,0.0,1.96144,0.0,2548.128
11.95832,66.138,2.6395,1.09,-37.5103,0.0,0.0,0.96574,0.0,1.50767,0.0,2548.128
13.99684,70.5224,2.6527,1.09,-37.5103,0.0,0.0,0.92271,0.0,1.55609,0.0,2552.5476
10.80836,76.4839,2.6161,1.83,-37.657,0.53104,0.0,1.65371,0.02735,2.35054,0.0,2554.8336
28.09183,87.5733,2.477,1.48,-38.1029,2.93915,1.52922,4.50837,3.26248,5.58215,0.94281,2560.26
12.74706,90.8597,2.4836,1.48,-38.1029,2.7457,1.34457,4.30512,3.05299,5.37275,0.73323,2561.31
13.42981,86.2685,2.5313,1.48,-38.1029,1.72324,0.48538,3.10096,1.99914,4.31964,0.0,2562.06
12.88724,89.8636,2.5012,1.48,-38.1029,2.48593,1.10312,4.02496,2.69127,5.01123,0.37132,2562.96
13.46635,64.8365,2.7145,1.27,-38.2673,0.0,0.0,0.0,0.0,0.31285,0.0,2564.13
15.07544,67.9667,2.6546,1.48,-38.1029,0.02115,0.0,1.06944,0.0,1.42669,0.0,2564.29
6.34615,105.7589,2.454,1.48,-38.1029,2.18487,0.8439,3.67734,4.09401,6.41351,1.7745,2565.39
7.07375,98.8763,2.4809,1.48,-38.1029,2.63034,1.23743,4.18061,3.30272,5.62237,0.98306,2566.45
7.10526,97.5996,2.4892,1.48,-38.1029,2.47602,1.09413,4.01403,3.09229,5.41204,0.77255,2567.85
13.16164,88.1976,2.5279,1.48,-38.1029,1.88849,0.60886,3.31269,2.14494,4.46531,0.0,2569.0
21.9523,72.7134,2.6105,2.19,-38.0233,0.65856,0.0,1.79779,0.15977,2.48272,0.0,2569.1592
9.31301,99.1056,2.4735,1.48,-38.1029,3.15083,1.72049,4.74275,3.53478,5.85436,1.2152,2570.35
8.23816,98.9994,2.4608,1.48,-38.1029,2.89968,1.49157,4.46687,3.72502,6.04456,1.40548,2571.45
10.74459,91.7565,2.4869,1.48,-38.1029,2.53513,1.14966,4.07713,2.98276,5.30255,0.66296,2573.87
9.65384,93.2594,2.5012,1.48,-38.1029,2.33111,0.96709,3.84922,2.76394,5.08386,0.44403,2575.04
10.24637,93.672,2.4964,1.48,-38.1029,2.58939,1.19949,4.13632,2.88847,5.20831,0.56863,2577.6
14.36051,69.8334,2.6451,1.83,-37.657,0.0,0.0,0.7777,0.0,1.65215,0.0,2581.5036
9.50167,72.3744,2.6393,1.09,-37.5103,0.0,0.0,0.93122,0.0,1.73784,0.0,2582.418
